level_0,level_1,correlacao
IN_INGRESSO_ENEM,CO_IES_DESTINO,0.20849390356367242
CO_IES_DESTINO,IN_INGRESSO_ENEM,0.20849390356367242
IN_DEFICIENCIA_BAIXA_VISAO,NU_ANO_NASCIMENTO,0.20828055828240463
NU_ANO_NASCIMENTO,IN_DEFICIENCIA_BAIXA_VISAO,0.20828055828240463
IN_APOIO_MORADIA,QT_CARGA_HORARIA_TOTAL,0.206079266190235
QT_CARGA_HORARIA_TOTAL,IN_APOIO_MORADIA,0.206079266190235
IN_CONCLUINTE,IN_MATRICULA,0.20604583399343557
IN_MATRICULA,IN_CONCLUINTE,0.20604583399343557
NU_ANO_NASCIMENTO,IN_INGRESSO_TOTAL,0.20470681481533787
IN_INGRESSO_TOTAL,NU_ANO_NASCIMENTO,0.20470681481533787
IN_BOLSA_EXTENSAO,CO_CURSO,0.20115398768371603
CO_CURSO,IN_BOLSA_EXTENSAO,0.20115398768371603
QT_CARGA_HORARIA_INTEG,TP_TURNO,0.19825079700830303
TP_TURNO,QT_CARGA_HORARIA_INTEG,0.19825079700830303
IN_APOIO_ALIMENTACAO,IN_RESERVA_RENDA_FAMILIAR,0.19790329886219854
IN_RESERVA_RENDA_FAMILIAR,IN_APOIO_ALIMENTACAO,0.19790329886219854
NU_ANO_NASCIMENTO,IN_INGRESSO_ENEM,0.19700497922184715
IN_INGRESSO_ENEM,NU_ANO_NASCIMENTO,0.19700497922184715
ID_ALUNO,IN_TGD_AUTISMO,0.19699366179094227
IN_TGD_AUTISMO,ID_ALUNO,0.19699366179094227
NU_ANO_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,0.19596366135433316
CO_MUNICIPIO_NASCIMENTO,NU_ANO_NASCIMENTO,0.19596366135433316
NU_ANO_NASCIMENTO,CO_UF_NASCIMENTO,0.19570044209954734
CO_UF_NASCIMENTO,NU_ANO_NASCIMENTO,0.19570044209954734
IN_APOIO_ALIMENTACAO,TP_TURNO,0.1954794798483962
TP_TURNO,IN_APOIO_ALIMENTACAO,0.1954794798483962
IN_INGRESSO_ENEM,IN_RESERVA_VAGAS,0.1943245596135027
IN_RESERVA_VAGAS,IN_INGRESSO_ENEM,0.1943245596135027
TP_ESCOLA_CONCLUSAO_ENS_MEDIO,TP_MOBILIDADE_ACADEMICA,0.19382872151427652
TP_MOBILIDADE_ACADEMICA,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,0.19382872151427652
IN_TGD_SINDROME_ASPERGER,NU_MES_NASCIMENTO,0.19351822650066022
NU_MES_NASCIMENTO,IN_TGD_SINDROME_ASPERGER,0.19351822650066022
DT_INGRESSO_CURSO,IN_DEFICIENCIA_INTELECTUAL,0.1932080992226697
IN_DEFICIENCIA_INTELECTUAL,DT_INGRESSO_CURSO,0.1932080992226697
